user_id;trajets;billettique_type;billettique_end_date;billettique_tickets_left;centres d'intérêts;lieux favoris;km de marche dans les 90 derniers jours;PMR;intérêt événements
1;[['Mairie de Montrouge', 'Porte de Clignancourt', 'Métro 4', '9:00'], ['La Motte-Picquet', 'Odéon', 'Métro 10', '18:30']];Navigo Mois;2024-12-01;;['Randonnée et nature', 'Musique'];[[48.82026594112043, 2.2828367280071604], [48.854491691483325, 2.256585660870236]];95.11920331464819;False;5
2;"[['Mairie de Montreuil', ""Chaussée d'Antin"", 'Métro 9', '18:30'], ['Denfert-Rochereau', 'Châtelet', 'RER B', '8:30']]";Navigo Semaine;2024-11-25;;['Lecture', 'Cuisine'];[[48.82725876598034, 2.3068645039845266], [48.85006717908811, 2.315847775194028]];98.78044620289033;False;3
3;[['Anvers', 'Charles de Gaulle - Étoile', 'Métro 2', '6:00'], ['Mairie de Montreuil', 'République', 'Métro 9', '14:30']];Navigo Semaine;2024-11-25;;['Jeux vidéo', 'Voyages'];[[48.819235773743934, 2.416761163144143], [48.8924871917879, 2.3416243772941154]];151.331274201141;False;2
4;[['Créteil', 'Balard', 'Métro 8', '19:00'], ['Versailles', 'Invalides', 'RER C', '21:00']];Navigo Mois;2024-12-01;;['Jeux vidéo', 'Cuisine'];[[48.82661342913266, 2.409538710422873], [48.8497825900615, 2.2924001570153374]];121.32797792182103;False;3
5;[['Montparnasse', 'Châtelet', 'Métro 4', '21:00'], ['Trocadéro', 'Hôtel de Ville', 'Bus 72', '10:00']];Ticket t+;;2.0;['Voyages', 'Sport'];[[48.8374311857614, 2.3659803479468127], [48.84789528042428, 2.279437485176884]];126.25339991019241;False;2
6;"[[""Gare d'Austerlitz"", ""Musée d'Orsay"", 'RER C', '17:00'], ['Châtelet', 'Robinson', 'RER B', '22:00']]";Navigo Semaine;2024-11-25;;['Voyages', 'Lecture'];[[48.83707817306353, 2.333198230298492], [48.815970067621095, 2.319531428823774]];87.05711809509344;False;3
7;[['La Motte-Picquet', 'Boulogne', 'Métro 10', '16:30'], ['Pont de Levallois', 'Gambetta', 'Métro 3', '9:30']];Navigo Mois;2024-12-01;;['Lecture', 'Cinéma'];[[48.897627306921244, 2.2584263358514285], [48.84613944059742, 2.369119345551183]];33.92936375048644;False;4
8;"[['Invalides', ""Gare d'Austerlitz"", 'RER C', '9:00'], [""Gare d'Austerlitz"", 'Versailles', 'RER C', '21:00']]";Ticket t+;;0.0;['Voyages', 'Musique'];[[48.86116736006924, 2.4169902409873556], [48.868311884308866, 2.342854019512924]];16.30649583126359;False;3
9;"[['Charles de Gaulle - Étoile', 'Marne-la-Vallée', 'RER A', '22:30'], ['Mairie de Montreuil', ""Chaussée d'Antin"", 'Métro 9', '6:00']]";Ticket t+;;1.0;['Lecture', 'Cuisine'];[[48.822520465908504, 2.2808752858405956], [48.861601747621485, 2.321962438268071]];71.86863321161911;False;4
10;[['Concorde', 'Champs-Elysées', 'Métro 1', '13:30'], ['La Défense', 'Concorde', 'Métro 1', '19:00']];Navigo Semaine;2024-11-25;;['Randonnée et nature', 'Musique'];[[48.85398176269303, 2.346761826392347], [48.837882185161774, 2.2956290426255648]];71.50191520628059;False;2
11;[['République', 'Trocadéro', 'Métro 9', '15:30'], ['Montparnasse', 'Châtelet', 'Métro 4', '15:30']];Ticket t+;;3.0;['Sport', 'Randonnée et nature'];[[48.82344824591192, 2.2860144311349293], [48.82270083341973, 2.259889895940295]];110.20711844219277;False;5
12;[['Aéroport CDG', 'Robinson', 'RER B', '21:30'], ['Montparnasse', 'Nation', 'Métro 6', '12:30']];Ticket t+;;1.0;['Randonnée et nature', 'Voyages'];[[48.87483769929176, 2.357978317007328], [48.833151002742134, 2.3653060578477083]];94.12964562006243;False;4
13;"[[""Gare de l'Est"", 'Villejuif', 'Métro 7', '17:00'], [""Musée d'Orsay"", 'Versailles', 'RER C', '19:00']]";Navigo Mois;2024-12-01;;['Musique', 'Randonnée et nature'];[[48.892354481457474, 2.345127921058003], [48.84577789496202, 2.2524459160551302]];75.9277696543286;False;1
14;[['République', 'Trocadéro', 'Métro 9', '8:00'], ['Invalides', 'Bastille', 'Métro 8', '22:00']];Navigo Mois;2024-12-01;;['Lecture', 'Musique'];[[48.86493930304013, 2.318113129210208], [48.83724813895199, 2.4134042585532027]];89.52911912863004;False;4
15;"[['Pont de Sèvres', 'Trocadéro', 'Métro 9', '22:30'], [""Place d'Italie"", 'Opéra', 'Métro 7', '8:00']]";Navigo Semaine;2024-11-25;;['Musique', 'Randonnée et nature'];[[48.850806653456544, 2.267319152929471], [48.890210354269456, 2.33226867916663]];41.38913193083834;False;4
16;[['Denfert-Rochereau', 'Châtelet', 'RER B', '22:00'], ['Montparnasse', 'Nation', 'Métro 6', '6:00']];Ticket t+;;0.0;['Musique', 'Cuisine'];[[48.85808868548187, 2.328012773227452], [48.87912876851743, 2.2889569106263656]];115.92626897020513;False;3
17;"[[""Porte d'Orléans"", 'Luxembourg', 'Bus 38', '8:30'], ['Hôtel de Ville', 'Parc de Saint-Cloud', 'Bus 72', '8:00']]";Ticket t+;;0.0;['Cuisine', 'Jeux vidéo'];[[48.88276580374311, 2.294153375159628], [48.810705142366714, 2.2757653913375537]];62.09590139388985;False;3
18;[['Opéra', 'Saint-Lazare', 'Métro 3', '10:00'], ['Hôtel de Ville', 'Trocadéro', 'Bus 72', '6:30']];Navigo Mois;2024-12-01;;['Cinéma', 'Lecture'];[[48.815180634882495, 2.3221954255507655], [48.87008785367087, 2.275270954439866]];143.71531546663311;False;5
19;"[['Gare du Nord', 'Aéroport CDG', 'RER B', '10:30'], ['Luxembourg', ""Porte d'Orléans"", 'Bus 38', '16:00']]";Navigo Semaine;2024-11-25;;['Randonnée et nature', 'Jeux vidéo'];[[48.898781096356196, 2.355598569989796], [48.84138556306871, 2.2740369675586622]];69.52626362439904;False;4
20;[['Mairie de Montrouge', 'Porte de Clignancourt', 'Métro 4', '13:30'], ['Montparnasse', 'Châtelet', 'Métro 4', '6:00']];Ticket t+;;4.0;['Cinéma', 'Sport'];[[48.859679450904515, 2.398204458631992], [48.84097687929113, 2.2599868996394625]];117.33156015420172;False;3
21;[['Montparnasse', 'Mairie de Montrouge', 'Métro 4', '20:00'], ['Hôtel de Ville', 'Parc de Saint-Cloud', 'Bus 72', '6:30']];Ticket t+;;1.0;['Lecture', 'Voyages'];[[48.83077521601651, 2.294468336720639], [48.83755036859652, 2.3219454319547355]];72.53988222735322;False;2
22;"[[""Place d'Italie"", 'Opéra', 'Métro 7', '12:00'], ['Gambetta', 'Saint-Lazare', 'Métro 3', '8:30']]";Navigo Mois;2024-12-01;;['Musique', 'Jeux vidéo'];[[48.89076391159758, 2.3458805781937344], [48.849133253579794, 2.3971255985836426]];37.39006465501437;False;5
23;[['Bobigny', 'République', 'Métro 5', '18:00'], ['Créteil', 'Bastille', 'Métro 8', '5:00']];Ticket t+;;2.0;['Sport', 'Voyages'];[[48.87397777991397, 2.3259276772367232], [48.869573274654556, 2.309412744906025]];33.849322586305426;False;3
24;[['Gambetta', 'Saint-Lazare', 'Métro 3', '20:00'], ['Gare du Nord', 'Bobigny', 'Métro 5', '19:30']];Ticket t+;;2.0;['Jeux vidéo', 'Voyages'];[[48.89122230842632, 2.308348399514396], [48.8794772878441, 2.3711516177765892]];60.48115872783657;False;2
25;"[[""Gare d'Austerlitz"", 'Invalides', 'RER C', '5:00'], ['Gare du Nord', 'Châtelet', 'Bus 38', '18:30']]";Ticket t+;;4.0;['Musique', 'Sport'];[[48.887354863967346, 2.3917543714557135], [48.872551528321715, 2.4019611335738253]];58.209455220971435;False;2
26;"[['Trocadéro', 'Montparnasse', 'Métro 6', '13:30'], ['Châtelet', ""Porte d'Orléans"", 'Bus 38', '18:00']]";Navigo Semaine;2024-11-25;;['Cuisine', 'Jeux vidéo'];[[48.85906482423957, 2.352876181026319], [48.89975106819563, 2.360858222914903]];22.93635662544843;False;4
27;"[['Montparnasse', 'Nation', 'Métro 6', '14:30'], [""Porte d'Orléans"", 'Luxembourg', 'Bus 38', '5:00']]";Navigo Mois;2024-12-01;;['Cuisine', 'Technologie et gadgets'];[[48.877035293685125, 2.328917233711156], [48.811047549762165, 2.3276681227961045]];90.25473007853621;False;1
28;"[['Anvers', 'Nation', 'Métro 2', '19:30'], ['Mairie de Montreuil', ""Chaussée d'Antin"", 'Métro 9', '18:30']]";Navigo Mois;2024-12-01;;['Sport', 'Randonnée et nature'];[[48.82959178957572, 2.3604886450430946], [48.88098508674386, 2.308937395867247]];16.536824446151765;False;2
29;"[['Trocadéro', 'Nation', 'Métro 6', '5:30'], [""Gare d'Austerlitz"", 'Invalides', 'RER C', '12:30']]";Ticket t+;;4.0;['Voyages', 'Musique'];[[48.83610264011279, 2.2720349165041793], [48.838850789953725, 2.3636101103958103]];23.4421588733373;False;3
30;[['République', 'Gambetta', 'Métro 3', '5:00'], ['La Défense', 'Marne-la-Vallée', 'RER A', '11:30']];Navigo Semaine;2024-11-25;;['Lecture', 'Sport'];[[48.89700631476244, 2.406394764292037], [48.889401241051516, 2.2717513638554405]];118.4678310971859;False;5
31;"[['Invalides', ""Gare d'Austerlitz"", 'RER C', '19:30'], ['Nation', 'Porte Dauphine', 'Métro 2', '7:00']]";Navigo Mois;2024-12-01;;['Sport', 'Cuisine'];[[48.82035859266463, 2.3213618570043577], [48.83651916578326, 2.4013971764355633]];47.12606277284616;False;5
32;"[['Mairie de Montreuil', ""Chaussée d'Antin"", 'Métro 9', '17:00'], ['Montparnasse', 'Charles de Gaulle - Étoile', 'Métro 6', '10:30']]";Navigo Semaine;2024-11-25;;['Cuisine', 'Lecture'];[[48.82536610212506, 2.289096472085965], [48.867880559737856, 2.2543668965530803]];24.34387692642018;False;4
33;[['Bastille', 'Nation', 'Métro 1', '6:00'], ['Bastille', 'Champs-Elysées', 'Métro 1', '8:30']];Ticket t+;;3.0;['Musique', 'Cuisine'];[[48.828051332473095, 2.4142084368702963], [48.83760619026052, 2.2750929157841924]];35.50750879226924;False;4
34;"[['Villejuif', ""Place d'Italie"", 'Métro 7', '13:30'], ['Saint-Lazare', 'Pont de Levallois', 'Métro 3', '15:00']]";Navigo Semaine;2024-11-25;;['Randonnée et nature', 'Voyages'];[[48.858010901336996, 2.3047022991062494], [48.81728370726164, 2.250286745052225]];46.00403600195082;False;4
35;[['Robinson', 'Gare du Nord', 'RER B', '9:30'], ['Bastille', 'Invalides', 'Métro 8', '6:00']];Navigo Semaine;2024-11-25;;['Cinéma', 'Technologie et gadgets'];[[48.83866470259031, 2.272780168430909], [48.86042147870538, 2.3173274550716703]];93.83669647646245;False;1
36;"[['Porte Dauphine', 'Anvers', 'Métro 2', '8:30'], [""Place d'Italie"", 'Villejuif', 'Métro 7', '17:00']]";Ticket t+;;0.0;['Sport', 'Musique'];[[48.8565195883765, 2.271508138521922], [48.83011348699843, 2.3824675642720985]];107.2607734490688;False;3
37;[['Hôtel de Ville', 'Parc de Saint-Cloud', 'Bus 72', '18:00'], ['Versailles', 'Invalides', 'RER C', '6:30']];Navigo Mois;2024-12-01;;['Randonnée et nature', 'Jeux vidéo'];[[48.83278936363192, 2.4146312205097584], [48.838000196619795, 2.3437989312175525]];67.51088643740879;False;5
38;[['La Motte-Picquet', 'Boulogne', 'Métro 10', '15:30'], ['Châtelet', 'Aéroport CDG', 'RER B', '9:30']];Navigo Semaine;2024-11-25;;['Cinéma', 'Technologie et gadgets'];[[48.82868755315001, 2.3435802696771515], [48.81429527030753, 2.3366029321730157]];47.508281782862824;True;2
