,user_id,trajets,billettique_type,billettique_end_date,billettique_tickets_left,centres d'intérêts,lieux favoris,km de marche dans les 90 derniers jours,PMR,intérêt événements,it_associée
0,1,"[['République', 'Opéra', 'Métro 3', '7:00'], ['Trocadéro', 'Montparnasse', 'Métro 6', '22:30']]",Navigo Mois,2024-12-01,,"['Lecture', 'Cuisine']","[[48.818438533158364, 2.3536142237571136], [48.84271179631902, 2.3550592357792057]]",98.99107203664853,False,2,[]
1,2,"[['Parc de Saint-Cloud', 'Hôtel de Ville', 'Bus 72', '12:30'], ['Gambetta', 'Pont de Levallois', 'Métro 3', '15:30']]",Navigo Semaine,2024-11-25,,"['Art et artisanat', 'Voyages']","[[48.8254745705916, 2.4141416318235827], [48.89946702418675, 2.399750056327536]]",118.06674789043358,False,3,[]
2,3,"[['Pont de Levallois', 'Gambetta', 'Métro 3', '10:00'], ['Parc de Saint-Cloud', 'Hôtel de Ville', 'Bus 72', '17:00']]",Navigo Semaine,2024-11-25,,"['Jeux vidéo', 'Musique']","[[48.81547759466018, 2.31507472262028], [48.84162064681855, 2.2750281212728916]]",152.92467282302664,False,1,[]
3,4,"[['Anvers', 'Charles de Gaulle - Étoile', 'Métro 2', '18:00'], ['Charles de Gaulle - Étoile', 'Marne-la-Vallée', 'RER A', '20:00']]",Navigo Semaine,2024-11-25,,"['Lecture', 'Cuisine']","[[48.86263884185368, 2.4108231116610632], [48.86548124720009, 2.28150975541584]]",40.95251716696801,False,4,[]
4,5,"[['Barbès', 'Porte de Clignancourt', 'Métro 4', '16:30'], ['Barbès', 'Châtelet', 'Métro 4', '11:30']]",Navigo Semaine,2024-11-25,,"['Randonnée et nature', 'Voyages']","[[48.87617699971363, 2.3810478039553247], [48.88523750307041, 2.275706557554499]]",130.28864944145914,False,1,[]
5,6,"[['Pont de Sèvres', ""Chaussée d'Antin"", 'Métro 9', '21:30'], ['Robinson', 'Aéroport CDG', 'RER B', '17:00']]",Ticket t+,,1.0,"['Voyages', 'Lecture']","[[48.83587288474304, 2.3504154174884775], [48.824948250445566, 2.3620259625632385]]",100.20457801669943,False,2,[]
6,7,"[['Porte Dauphine', 'Charles de Gaulle - Étoile', 'Métro 2', '17:30'], ['Charles de Gaulle - Étoile', 'Porte Dauphine', 'Métro 2', '12:30']]",Navigo Mois,2024-12-01,,"['Cinéma', 'Jeux vidéo']","[[48.87089106622149, 2.3220693721551453], [48.87402303308221, 2.388049758648666]]",109.4683154016713,False,5,[]
7,8,"[['Trocadéro', 'Hôtel de Ville', 'Bus 72', '8:00'], [""Musée d'Orsay"", 'Versailles', 'RER C', '20:30']]",Navigo Semaine,2024-11-25,,"['Musique', 'Jeux vidéo']","[[48.880704626192454, 2.253494122834162], [48.88547274725753, 2.353451968014951]]",91.50559118306933,False,5,"[{'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}]"
8,9,"[['Balard', 'Bastille', 'Métro 8', '8:30'], ['Boulogne', 'La Motte-Picquet', 'Métro 10', '16:30']]",Ticket t+,,2.0,"['Randonnée et nature', 'Sport']","[[48.89531771308121, 2.35132425600378], [48.872431721242954, 2.3282862840838674]]",105.85378631646282,False,3,[]
9,10,"[['Mairie de Montrouge', 'Montparnasse', 'Métro 4', '17:00'], ['Marne-la-Vallée', 'La Défense', 'RER A', '9:30']]",Ticket t+,,4.0,"['Jeux vidéo', 'Musique']","[[48.81402661890151, 2.401975316410092], [48.859499708068256, 2.3771542930072522]]",13.116803582881008,False,3,[]
